Nome do aluno,Seg 7:30 AM – 8:30 AM,Seg 8:00 AM – 9:00 AM,Seg 9:00 AM – 10:00 AM,Seg 10:00 AM – 11:00 AM,Seg 11:00 AM – 12:00 PM,Seg 1:00 PM – 2:00 PM,Seg 2:00 PM – 3:00 PM,Seg 3:00 PM – 4:00 PM,Seg 4:00 PM – 5:00 PM,Seg 4:30 PM – 5:30 PM,Seg 6:00 PM – 7:00 PM,Ter 1:00 PM – 2:00 PM,Ter 2:00 PM – 3:00 PM,Ter 3:00 PM – 4:00 PM,Ter 4:00 PM – 5:00 PM,Ter 4:30 PM – 5:30 PM,Ter 6:00 PM – 7:00 PM,Ter 6:30 PM – 7:30 PM,Ter 7:30 AM – 8:30 AM,Qua 8:00 AM – 9:00 AM,Qua 9:00 AM – 10:00 AM,Qua 10:00 AM – 11:00 AM,Qua 11:00 AM – 12:00 PM,Qua 1:00 PM – 2:00 PM,Qua 2:00 PM – 3:00 PM,Qua 3:00 PM – 4:00 PM,Qua 4:00 PM – 5:00 PM,Qua 4:30 PM – 5:30 PM,Qua 6:00 PM – 7:00 PM,Qua 6:30 PM – 7:30 PM,Qui 1:00 PM – 2:00 PM,Qui 2:00 PM – 3:00 PM,Qui 3:00 PM – 4:00 PM,Qui 6:00 PM – 7:00 PM,Qui 6:30 PM – 7:30 PM,Sex 7:30 AM – 8:30 AM,Sex 8:00 AM – 9:00 AM,Sex 9:00 AM – 10:00 AM,Sex 10:00 AM – 11:00 AM,Sex 11:00 AM – 12:00 PM,Sex 1:00 PM – 2:00 PM,Sex 2:00 PM – 3:00 PM,Sex 3:00 PM – 4:00 PM,Sex 4:00 PM – 5:00 PM,Sex 4:30 PM – 5:30 PM
Aluno 1,OK,OK,OK,OK,OK,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,OK
Aluno 2,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 3,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 4,,,,OK,OK,OK,OK,,,,,OK,OK,,,,,,,,,OK,OK,OK,OK,,,,,,OK,OK,,,,,,,OK,OK,OK,OK,,,
Aluno 5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 6,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,OK,OK,,,,OK,OK,OK,OK,,,,,,OK,OK,OK,OK,OK,OK,OK
Aluno 7,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Aluno 8,,OK,OK,OK,,OK,OK,OK,,,,OK,OK,OK,,,,,,OK,OK,OK,,OK,OK,OK,,,,,OK,OK,OK,,,,OK,OK,OK,,OK,OK,OK,,
Aluno 9,OK,OK,OK,OK,OK,OK,,,,,,OK,,,,,,,OK,OK,OK,OK,OK,OK,,,,,,,OK,,,,,OK,OK,OK,OK,OK,OK,,,,
Aluno 10,,OK,,,,,,,,,OK,,,,,OK,,,,,OK,,,,,,,,OK,,,OK,OK,,,,,OK,,,,OK,OK,OK,OK
Aluno 11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 12,,,,,,,,OK,OK,OK,,,,OK,OK,OK,,OK,,,,,,,,OK,OK,OK,,OK,,,OK,,OK,,,,,,,OK,OK,OK,OK
Aluno 13,,,OK,OK,OK,OK,,OK,OK,OK,OK,OK,,OK,OK,OK,OK,OK,,,OK,OK,OK,OK,,OK,OK,OK,OK,OK,OK,,OK,OK,OK,,,OK,OK,OK,OK,,OK,OK,OK
Aluno 14,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Aluno 15,,,OK,OK,OK,OK,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,OK,OK,OK,OK
Aluno 16,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluno 17,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,
Aluno 18,,,,,,,,,OK,OK,OK,,,,OK,OK,,,,,,,,,,OK,OK,OK,,,,,,OK,,,,,,,,,OK,OK,OK
